id,brand,model,url,type,formfactor,platform,library,width,height,v,i,w,dependency,category,portname,porttype,functiontype,functionpintype,v_min,v_max,x,y,connectivity,compatibility,action,param,min,max,unit,constraint,value,valuemin,valuemax,valueunit,valueconstraint,count
,,,,,,,,,,,,,,,8,WIRE,GPIO_7,INOUT,5,5,271.6,14.4,GPIO_12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,WIRE,PWM_4,INOUT,5,5,257.2,14.4,UART_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GPIO_8,INOUT,,,,,I2C_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,WIRE,PWM_5,INOUT,5,5,242.78,14.4,SPI_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SPI_1,SPI_SS,,,,,PWM_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GPIO_9,INOUT,,,,,PWM_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,WIRE,PWM_6,INOUT,5,5,228.38,14.4,PWM_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SPI_2,SPI_MOSI,,,,,PWM_4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GPIO_10,INOUT,,,,,PWM_5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,WIRE,SPI_3,SPI_MISO,5,5,214,14.4,PWM_6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GPIO_11,INOUT,,,,,ANALOG_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,WIRE,SPI_4,SPI_SCK,5,5,199.6,14.4,ANALOG_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GPIO_12,INOUT,,,,,ANALOG_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,185.2,14.4,ANALOG_4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,AREF,WIRE,,,,,170.8,14.4,ANALOG_5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SDA,WIRE,I2C_1,I2C_SDA,5,5,156.4,14.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SCL,WIRE,I2C_1,I2C_SCL,5,5,142,14.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A5,WIRE,ANALOG_5,INOUT,5,5,395.56,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A4,WIRE,ANALOG_4,INOUT,5,5,381.16,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A3,WIRE,ANALOG_3,INOUT,5,5,366.76,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A2,WIRE,ANALOG_2,INOUT,5,5,352.36,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A1,WIRE,ANALOG_1,INOUT,5,5,337.96,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A0,WIRE,ANALOG_0,INOUT,5,5,323.56,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,VIN,WIRE,,,,,294.76,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,280.36,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,265.96,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5V,WIRE,POWER,VCC,5,5,251.56,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.3V,WIRE,,,,,237.16,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,RESET,WIRE,,,,,222.76,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,IOREF,WIRE,,,,,208.36,288,,,,,,,,,,,,,,
Arduinoall-1533,Aduinoall,Ultrasonic Sensor Module HC-SR04P,https://i.lnwfile.com/_/i/_raw/9u/ew/hl.jpg,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_HC_SR04P,228,129.811,,,,,,VIN,WIRE,POWER,VCC,3.3,5,91.572,129.811,,Distance,Compare,,,,,,Distance,0.02,4.5,METER,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,3.3,5,134.894,129.811,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TRIG,WIRE,GPIO_1,INOUT,3.3,5,105.692,129.811,GPIO_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ECHO,WIRE,GPIO_2,INOUT,3.3,5,120.456,129.811,GPIO_2,,,,,,,,,,,,,
Arduinoall-115,Arduinoall,RGB Color Sensor with IR filter and White LED - TCS34725,https://www.arduinoall.com/product/155/%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B8%B9%E0%B8%A5-%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B8%AA%E0%B8%B5-%E0%B8%AD%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B8%AA%E0%B8%B5-%E0%B9%80%E0%B8%8B%E0%B8%99%E0%B9%80%E0%B8%8B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%AA%E0%B8%B5-rgb-colour-sensor-tcs230-tcs3200-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-arduino-2,PERIPHERAL,STANDALONE,ARDUINO,MP_TCS3200,198,198,,,,,,VIN,WIRE,POWER,VCC,3.5,5,9.688,62.938,,Color,Detect Color,Color,,,,Red,,,,,,
,,,,,,,,,,,,,,,S1,WIRE,GPIO_2,INOUT,5,5,9.688,81,GPIO_2,,,,,,,Green,,,,,,
,,,,,,,,,,,,,,,S0,WIRE,GPIO_1,INOUT,5,5,9.688,99,GPIO_1,,,,,,,Blue,,,,,,
,,,,,,,,,,,,,,,LED,WIRE,GPIO_6,INOUT,5,5,9.688,117,GPIO_6,,,,,,,Cyan,,,,,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,3.3,5,9.688,135.063,,,,,,,,Magenta,,,,,,
,,,,,,,,,,,,,,,S3,WIRE,GPIO_4,INOUT,5,5,187.375,80.813,GPIO_4,,,,,,,Yellow,,,,,,
,,,,,,,,,,,,,,,S2,WIRE,GPIO_3,INOUT,5,5,187.375,98.813,GPIO_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,OUT,WIRE,GPIO_5,INOUT,5,5,187.375,116.813,GPIO_5,,,,,,,,,,,,,
Arduinoall-967,Arduinoall,RGB LED Module Using 5V,https://www.arduinoall.com/product/967/rgb-led-10mm-module-%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B8%B9%E0%B8%A5-led-rgb-3-%E0%B8%AA%E0%B8%B5%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-10mm,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_RGB_LED,86,107,,,,,,R,WIRE,GPIO_3,INOUT,5,5,35.144,90.968,GPIO_3,RGB LED,On,Color,,,,Red,,,,,,
,,,,,,,,,,,,,,,G,WIRE,GPIO_2,INOUT,5,5,63.944,90.968,GPIO_2,,,,,,,Green,,,,,,
,,,,,,,,,,,,,,,B,WIRE,GPIO_1,INOUT,5,5,49.544,90.968,GPIO_1,,,,,,,Blue,,,,,,
,,,,,,,,,,,,,,,V,WIRE,POWER,VCC,5,5,20.743,90.968,,,,,,,,Cyan,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magenta,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Off,,,,,,,,,,,
